Name,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100s,50s
SB Styris (NZ),188,161,23,4483,141,32.48,5645,79.41,4,28
KP Pietersen (ENG/ICC),136,125,16,4440,130,40.73,5128,86.58,9,25
NS Sidhu (INDIA),136,127,8,4413,134,37.08,6329,69.72,6,33
CZ Harris (NZ),250,213,62,4379,130,29,6583,66.51,1,16
GR Marsh (AUS),117,115,6,4357,126,39.97,7790,55.93,9,22
E Chigumbura (Afr/ZIM),213,198,26,4340,117,25.23,5423,80.02,2,19
ME Trescothick (ENG),123,122,6,4335,137,37.37,5087,85.21,12,21
GA Gooch (ENG),125,122,6,4290,142,36.98,6932,61.88,8,23
AJ Strauss (ENG),127,126,8,4205,158,35.63,5195,80.94,6,27
K Srikkanth (INDIA),146,145,4,4091,123,29.01,5702,71.74,4,27
PR Stirling (IRE),114,111,2,4038,177,37.04,4627,87.27,8,23
WTS Porterfield (IRE),136,133,3,4037,139,31.05,5818,69.38,11,17
AJ Lamb (ENG),122,118,16,4010,118,39.31,5308,75.54,4,26
Mahmudullah (BDESH),185,160,42,3994,128,33.84,5222,76.48,3,21
RP Arnold (SL),180,155,43,3950,103,35.26,5443,72.57,1,28
AP Gurusinha (SL),147,143,5,3902,117,28.27,6409,60.88,2,22
JG Wright (NZ),149,148,1,3891,101,26.46,6804,57.18,1,24
DJ Cullinan (SA),138,133,16,3860,124,32.99,5492,70.28,3,23
GA Hick (ENG),120,118,15,3846,126,37.33,5191,74.08,5,27
JC Buttler (ENG),142,117,23,3843,150,40.88,3207,119.83,9,20
SPD Smith (AUS),118,104,12,3810,164,41.41,4414,86.31,8,23
HP Tillakaratne (SL),200,168,40,3789,104,29.6,6588,57.51,2,13
N Kapil Dev (INDIA),225,198,39,3783,175,23.79,3979,95.07,1,14
Wasim Akram (PAK),356,280,55,3717,86,16.52,4208,88.33,0,6
SC Williams (ZIM),131,127,18,3717,129,34.1,4546,81.76,3,31
RS Kaluwitharana (SL),189,181,14,3711,102,22.22,4776,77.7,2,23
Imran Khan (PAK),175,151,40,3709,102,33.41,5105,72.65,1,19
PV Simmons (WI),143,138,11,3675,122,28.93,5407,67.96,5,18
NV Knight (ENG),100,100,10,3637,125,40.41,5085,71.52,5,25
LD Chandimal (SL),146,132,21,3599,111,32.42,4855,74.12,4,22
L Klusener (SA),171,137,50,3576,103,41.1,3977,89.91,2,19
SM Pollock (Afr/ICC/SA),303,205,72,3519,130,26.45,4059,86.69,1,14
MA Taylor (AUS),113,110,1,3514,105,32.23,5909,59.46,1,28
DB Vengsarkar (INDIA),129,120,19,3508,105,34.73,5179,67.73,1,23
KJ O'Brien (IRE),142,130,17,3490,142,30.88,3922,88.98,2,18
Mohammad Ashraful (Asia/BDESH),177,169,13,3468,109,22.23,4947,70.1,3,20
SO Tikolo (Afr/KENYA),135,130,12,3428,111,29.05,4524,75.77,3,24
HH Dippenaar (Afr/SA),107,95,14,3421,125,42.23,5047,67.78,4,26
A Flintoff (ENG/ICC),141,122,16,3394,123,32.01,3821,88.82,3,18
T Taibu (Afr/ZIM),150,137,21,3393,107,29.25,5020,67.58,2,22
JJ Roy (ENG),84,81,2,3381,180,42.79,3148,107.4,9,18
KC Wessels (AUS/SA),109,105,7,3367,107,34.35,6088,55.3,1,26
Babar Azam (PAK),74,72,10,3359,125,54.17,3857,87.08,11,15
AC Parore (NZ),179,161,32,3314,108,25.68,4867,68.09,1,14
Moin Khan (PAK),219,183,41,3266,72,23,4017,81.3,0,12
Kamran Akmal (PAK),157,138,14,3236,124,26.09,3855,83.94,5,10
AN Cook (ENG),92,92,4,3204,137,36.4,4154,77.13,5,19
HDRL Thirimanne (SL),127,106,14,3194,139,34.71,4419,72.27,4,21
Umar Akmal (PAK),121,110,17,3194,102,34.34,3712,86.04,2,20
DI Gower (ENG),114,111,8,3170,158,30.77,4218,75.15,7,12
KR Rutherford (NZ),121,115,9,3143,108,29.65,4888,64.3,2,18
BJ Haddin (AUS),126,115,16,3122,110,31.53,3706,84.24,2,16
RJ Shastri (INDIA),150,128,21,3108,109,29.04,5089,61.07,4,18
SM Gavaskar (INDIA),108,102,14,3092,103,35.13,4966,62.26,1,27
DS Lehmann (AUS),117,101,22,3078,119,38.96,3784,81.34,4,17
DA Miller (SA),126,110,31,3058,139,38.7,3054,100.13,5,12
GJ Bailey (AUS),90,85,10,3044,156,40.58,3645,83.51,3,22
SD Hope (WI),72,67,10,3007,170,52.75,4046,74.32,8,15
V Sibanda (Afr/ZIM),127,126,4,2994,116,24.54,4716,63.48,2,21
DJ Bravo (WI),164,141,24,2968,112,25.36,3606,82.3,2,10
AM Rahane (INDIA),90,87,3,2962,111,35.26,3767,78.63,3,24
HH Streak (Afr/ZIM),189,159,55,2943,79,28.29,4008,73.42,0,13
WW Hinds (WI),119,111,10,2880,127,28.51,4393,65.55,5,14
GJ Maxwell (AUS),110,100,11,2877,102,32.32,2332,123.37,1,19
JM Bairstow (ENG),74,68,8,2861,141,47.68,2749,104.07,9,11
DM Bravo (WI),110,105,13,2839,124,30.85,4045,70.18,3,18
IJL Trott (ENG),68,65,10,2819,137,51.25,3658,77.06,4,22
AL Logie (WI),158,133,36,2809,109,28.95,3801,73.9,1,14
AH Jones (NZ),87,87,9,2784,93,35.69,4811,57.86,0,25
Mohammad Nabi (AFG),124,112,12,2782,116,27.82,3252,85.54,1,15
SE Marsh (AUS),73,72,4,2773,151,40.77,3406,81.41,7,15
M Kaif (INDIA),125,110,24,2753,111,32.01,3822,72.03,2,17
SV Carlisle (ZIM),111,107,8,2740,121,27.67,4325,63.35,3,9
MDKJ Perera (SL),98,93,5,2739,135,31.12,2945,93,5,14
Mohammad Shahzad (AFG),84,84,3,2727,131,33.66,3082,88.48,6,14
Salman Butt (PAK),78,78,4,2725,136,36.82,3572,76.28,8,14
RG Twose (NZ),87,81,11,2717,103,38.81,3603,75.4,1,20
GJ Whittall (ZIM),147,142,22,2705,83,22.54,4011,67.43,0,11
RS Bopara (ENG),120,109,21,2695,101,30.62,3462,77.84,1,14
BA Stokes (ENG),95,81,15,2682,102,40.63,2855,93.94,3,20
Sikandar Raza (ZIM),97,93,15,2656,141,34.05,3249,81.74,3,14
Mudassar Nazar (PAK),122,115,10,2653,95,25.26,5130,51.71,0,16
EC Joyce (ENG/IRE),78,77,8,2622,160,38,3630,72.23,6,15
Ahmed Shehzad (PAK),81,81,1,2605,124,32.56,3614,72.08,6,14
NJ O'Brien (IRE),103,101,9,2581,109,28.05,3638,70.94,1,18
Zaheer Abbas (PAK),62,60,6,2572,123,47.62,3033,84.8,7,13
CR Ervine (ZIM),93,90,11,2571,130,32.54,3406,75.48,3,15
AC Hudson (SA),89,88,1,2559,161,29.41,3960,64.62,2,18
TWM Latham (NZ),95,88,9,2550,137,32.27,3096,82.36,4,15
VG Kambli (INDIA),104,97,21,2477,106,32.59,3443,71.94,2,14
Imrul Kayes (BDESH),78,78,2,2434,144,32.02,3423,71.1,4,16
JDP Oram (NZ),160,116,15,2434,101,24.09,2810,86.61,1,13
TM Odoyo (Afr/KENYA),136,119,16,2420,111,23.49,3438,70.38,1,8
AD Hales (ENG),70,67,3,2419,171,37.79,2527,95.72,6,14
RA Smith (ENG),71,70,8,2419,167,39.01,3473,69.65,4,15
L Vincent (NZ),102,99,10,2413,172,27.11,3453,69.88,3,11
KJ Coetzer (SCOT),59,57,2,2409,156,43.8,2795,86.18,4,17
KA Pollard (WI),107,99,7,2398,119,26.06,2547,94.14,3,10
CJ Chibhabha (ZIM),103,103,2,2389,99,23.65,3784,63.13,0,16
GP Thorpe (ENG),82,77,13,2380,89,37.18,3344,71.17,0,21
Rahmat Shah (AFG),73,69,2,2359,114,35.2,3366,70.08,4,16
Asghar Afghan (AFG),111,105,9,2356,101,24.54,3531,66.72,1,12
