Name,Balls,Runs,Wkts,Ave,Econ
Rubel Hossain (BDESH),4540,4300,126,34.12,5.68
Mohammad Rafique (Asia/BDESH),6414,4739,125,37.91,4.43
KAJ Roach (WI),4459,3763,124,30.34,5.06
Azhar Mahmood (PAK),6242,4813,123,39.13,4.62
Mohammad Sami (PAK),4284,3567,121,29.47,4.99
AG Cremer (ZIM),4680,3597,119,30.22,4.61
IR Bishop (WI),4332,3127,118,26.5,4.33
IVA Richards (WI),5644,4228,118,35.83,4.49
K Rabada (SA),3842,3199,117,27.34,4.99
R Rampaul (WI),4033,3434,117,29.35,5.1
Dawlat Zadran (AFG),3769,3423,115,29.76,5.44
PAJ DeFreitas (ENG),5712,3775,115,32.82,3.96
AD Mathews (SL),5083,3907,115,33.97,4.61
I Sharma (INDIA),3733,3563,115,30.98,5.72
Wahab Riaz (PAK),4209,4011,115,34.87,5.71
WJ Cronje (SA),5357,3966,114,34.78,4.44
MC Snedden (NZ),4525,3237,114,28.39,4.29
GR Larsen (NZ),6368,4000,113,35.39,3.76
KJ O'Brien (IRE),4224,3672,113,32.49,5.21
PD Collingwood (ENG),5186,4294,111,38.68,4.96
Mudassar Nazar (PAK),4855,3432,111,30.91,4.24
Yuvraj Singh (Asia/INDIA),5048,4294,111,38.68,5.1
Junaid Khan (PAK),3601,3216,110,29.23,5.35
Naved-ul-Hasan (PAK),3466,3221,110,29.28,5.57
DR Tuffey (NZ),4333,3534,110,32.12,4.89
TT Bresnan (ENG),4221,3813,109,34.98,5.42
GP Wickramasinghe (SL),5720,4321,109,39.64,4.53
SP O'Donnell (AUS),4350,3102,108,28.72,4.27
DNT Zoysa (SL),4259,3213,108,29.75,4.52
RAS Lakmal (SL),3824,3478,107,32.5,5.45
Mustafizur Rahman (BDESH),2813,2458,107,22.97,5.24
PA de Silva (SL),5148,4177,106,39.4,4.86
TM Dilshan (SL),5880,4778,106,45.07,4.87
A Nel (SA),3801,2935,106,27.68,4.63
PR Reiffel (AUS),4732,3096,106,29.2,3.92
UT Yadav (INDIA),3558,3565,106,33.63,6.01
GW Flower (ZIM),5462,4225,104,40.62,4.64
WB Rankin (ENG/IRE),3600,2893,104,27.81,4.82
GP Swann (ENG),3809,2888,104,27.76,4.54
JJ Bumrah (INDIA),3009,2254,103,21.88,4.49
DK Lillee (AUS),3593,2145,103,20.82,3.58
C Pringle (NZ),3314,2459,103,23.87,4.45
ST Finn (ENG),3550,2996,102,29.37,5.06
E Chigumbura (Afr/ZIM),4339,4274,101,42.31,5.91
WKM Benjamin (WI),4442,3079,100,30.79,4.15
SC Ganguly (Asia/INDIA),4561,3849,100,38.49,5.06
RA Harper (WI),5175,3431,100,34.31,3.97
CK Langeveldt (SA),3489,2962,100,29.62,5.09
RW Price (ZIM),5374,3575,100,35.75,3.99
NJ Astle (NZ),4850,3809,99,38.47,4.71
Kuldeep Yadav (INDIA),2952,2455,99,24.79,4.98
CJ McKay (AUS),2965,2364,97,24.37,4.78
PL Taylor (AUS),3937,2740,97,28.24,4.17
N Boje (Afr/SA),4541,3415,96,35.57,4.51
PJ Cummins (AUS),3033,2603,96,27.11,5.14
JP Faulkner (AUS),3211,2962,96,30.85,5.53
V Sehwag (Asia/ICC/INDIA),4392,3853,96,40.13,5.26
PA Strang (ZIM),4351,3173,96,33.05,4.37
TL Chatara (ZIM),3431,2905,95,30.57,5.08
PS de Villiers (SA),4422,2636,95,27.74,3.57
AJ Hall (SA),3341,2515,95,26.47,4.51
WD Parnell (SA),2911,2738,94,29.12,5.64
SO Tikolo (Afr/KENYA),4016,3215,94,34.2,4.8
LL Tsotsobe (SA),2964,2347,94,24.96,4.75
MJ Henry (NZ),2703,2437,92,26.48,5.4
SP Narine (WI),3540,2435,92,26.46,4.12
AC Cummins (CAN/WI),3767,2877,91,31.61,4.58
CB Mpofu (ZIM),3900,3513,91,38.6,5.4
