Name,Balls,Runs,Wkts,Ave,Econ
BW Hilfenhaus (AUS),1216,1075,29,37.06,5.3
NM Lyon (AUS),1626,1334,29,46,4.92
Manzoor Elahi (PAK),1743,1262,29,43.51,4.34
BA Murphy (ZIM),1422,1130,29,38.96,4.76
D Pretorius (SA),1022,813,29,28.03,4.77
FA Rose (WI),1326,1046,29,36.06,4.73
RJ Sidebottom (ENG),1277,1039,29,35.82,4.88
CM Wright (SCOT),861,663,29,22.86,4.62
Ahmed Raza (UAE),1505,1011,28,36.1,4.03
IG Butler (NZ),1109,1038,28,37.07,5.61
WW Hinds (WI),945,837,28,29.89,5.31
BMAJ Mendis (SL),1404,1204,28,43,5.14
SPD Smith (AUS),1070,963,28,34.39,5.4
DT Tiripano (ZIM),1220,1122,28,40.07,5.51
Ata-ur-Rehman (PAK),1492,1186,27,43.92,4.76
HK Bennett (NZ),718,621,27,23,5.18
TK Curran (ENG),762,805,27,29.81,6.33
PW Gunaratne (SL),959,908,27,33.62,5.68
KM Jadhav (INDIA),1187,1020,27,37.77,5.15
AY Karim (KENYA),1568,1114,27,41.25,4.26
AJ McKay (NZ),926,800,27,29.62,5.18
PJ Martin (ENG),1048,806,27,29.85,4.61
RAP Nissanka (SL),997,857,27,31.74,5.15
A Vala (PNG),1038,648,27,24,3.74
CA Young (IRE),657,563,27,20.85,5.14
PH Edmonds (ENG),1534,965,26,37.11,3.77
AP Gurusinha (SL),1585,1354,26,52.07,5.12
LN Onyango (KENYA),995,981,26,37.73,5.91
AM Phangiso (SA),1085,829,26,31.88,4.58
DN Crookes (SA),1221,1011,25,40.44,4.96
GD Drummond (SCOT),1263,932,25,37.28,4.42
LM Jongwe (ZIM),863,759,25,30.36,5.27
A Kuruvilla (INDIA),1131,890,25,35.6,4.72
D Langford-Smith (IRE),942,797,25,31.88,5.07
SW Masakadza (ZIM),791,891,25,35.64,6.75
G Miller (ENG),1268,813,25,32.52,3.84
CA Soper (PNG),900,733,25,29.32,4.88
K Srikkanth (INDIA),712,641,25,25.64,5.4
AR White (IRE),869,688,25,27.52,4.75
KIW Wijegunawardene (SL),1186,986,25,39.44,4.98
Alok Kapali (BDESH),1452,1255,24,52.29,5.18
Arafat Sunny (BDESH),830,600,24,25,4.33
ID Blackwell (ENG),1230,877,24,36.54,4.27
C de Grandhomme (NZ),1296,1046,24,43.58,4.84
Harvinder Singh (INDIA),686,609,24,25.37,5.32
RC Irani (ENG),1283,989,24,41.2,4.62
PW Jarvis (ENG),879,672,24,28,4.58
MBS Jonkman (NL),719,565,24,23.54,4.71
JK Lever (ENG),1152,713,24,29.7,3.71
Manjural Islam (BDESH),1591,1284,24,53.5,4.84
Mohammad Saifuddin (BDESH),912,909,24,37.87,5.98
Nasir Hossain (BDESH),1256,988,24,41.16,4.71
MS Panesar (ENG),1308,980,24,40.83,4.49
SR Patel (ENG),1187,1091,24,45.45,5.51
KR Pushpakumara (SL),1430,1181,24,49.2,4.95
JA Richardson (AUS),648,632,24,26.33,5.85
O Thomas (WI),716,825,24,34.37,6.91
Yasir Shah (PAK),1293,1150,24,47.91,5.33
Aizaz Cheema (PAK),658,593,23,25.78,5.4
JC Archer (ENG),737,569,23,24.73,4.63
DAJ Bracewell (NZ),932,798,23,34.69,5.13
NG Cowans (ENG),1282,913,23,39.69,4.27
KM Dabengwa (ZIM),1109,936,23,40.69,5.06
WW Daniel (WI),912,595,23,25.86,3.91
SR Gillespie (NZ),963,736,23,32,4.58
G Goudie (SCOT),729,623,23,27.08,5.12
ND Hirwani (INDIA),960,719,23,31.26,4.49
TG Hogan (AUS),917,574,23,24.95,3.75
KAD Hurdle (BMUDA),905,831,23,36.13,5.5
Manjural Islam Rana (BDESH),996,689,23,29.95,4.15
S Mukuddem (BMUDA),960,752,23,32.69,4.7
BTJ Wheal (SCOT),687,508,23,22.08,4.43
DR Brown (ENG/SCOT),953,919,22,41.77,5.78
DM de Silva (SL),1028,899,22,40.86,5.24
DR Doshi (INDIA),792,524,22,23.81,3.96
Farhad Reza (BDESH),1139,1017,22,46.22,5.35
DAS Gunaratne (SL),834,723,22,32.86,5.2
BP Julian (AUS),1146,997,22,45.31,5.21
RN Lewis (WI),1150,983,22,44.68,5.12
ML Nkala (ZIM),1582,1570,22,71.36,5.95
E Otieno (KENYA),954,927,22,42.13,5.83
MW Pringle (SA),870,604,22,27.45,4.16
JE Root (ENG),1414,1364,22,62,5.78
SK Sharma (INDIA),979,813,22,36.95,4.98
Sohag Gazi (BDESH),919,722,22,32.81,4.71
WF Stelling (NL),699,567,22,25.77,4.86
Al-Amin Hossain (BDESH),603,523,21,24.9,5.2
JT Ball (ENG),947,980,21,46.66,6.2
DH Brain (ZIM),1091,849,21,40.42,4.66
AC Dawson (SA),901,715,21,34.04,4.76
RMS Eranga (SL),716,686,21,32.66,5.74
CN Evans (ZIM),964,848,21,40.38,5.27
M Hayward (SA),993,858,21,40.85,5.18
NB Mahwire (ZIM),885,775,21,36.9,5.25
WP Masakadza (ZIM),859,734,21,34.95,5.12
Mohsin Kamal (PAK),881,760,21,36.19,5.17
PP Ojha (INDIA),876,652,21,31.04,4.46
AO Suji (KENYA),1295,1175,21,55.95,5.44
Wasim Raja (PAK),1036,687,21,32.71,3.97
MH Yardy (ENG),1332,1075,21,51.19,4.84
Kabir Ali (ENG),673,682,20,34.1,6.08
STR Binny (INDIA),490,439,20,21.95,5.37
TS Chisoro (ZIM),768,556,20,27.8,4.34
DT Christian (AUS),727,595,20,29.75,4.91
Faheem Ashraf (PAK),902,744,20,37.2,4.94
DR Hadlee (NZ),628,364,20,18.2,3.47
A Jadeja (INDIA),1248,1094,20,54.7,5.25
RT Lyons (SCOT),1093,901,20,45.05,4.94
N Madziva (ZIM),520,519,20,25.95,5.98
JO Ngoche (KENYA),878,569,20,28.45,3.88
KMA Paul (WI),740,737,20,36.85,5.97
NO Perry (WI),946,783,20,39.15,4.96
